,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
0,Andaman & Nicobar Islands,All India Anna Dravida Munnetra Kazhagam,911.0,3.0,914.0,11.7401,92.6586
1,Andaman & Nicobar Islands,Andaman Nicobar Democratic Congress,8236.0,18.0,8254.0,11.7401,92.6586
2,Andaman & Nicobar Islands,Bahujan Samaj Party,714.0,5.0,719.0,11.7401,92.6586
3,Andaman & Nicobar Islands,Bharatiya Janata Party,102182.0,254.0,102436.0,11.7401,92.6586
4,Andaman & Nicobar Islands,Communist Party of India (Marxist),6009.0,8.0,6017.0,11.7401,92.6586
5,Andaman & Nicobar Islands,Independent,3960.0,14.0,3974.0,11.7401,92.6586
6,Andaman & Nicobar Islands,Indian National Congress,77829.0,211.0,78040.0,11.7401,92.6586
7,Andaman & Nicobar Islands,None of the Above,1802.0,7.0,1809.0,11.7401,92.6586
8,Andaman & Nicobar Islands,Socialist Unity Centre Of India (COMMUNIST),349.0,2.0,351.0,11.7401,92.6586
9,Andhra Pradesh,Aihra National Party,1567.0,1.0,1568.0,15.9129,79.74
10,Andhra Pradesh,All India Forward Bloc,13620.0,25.0,13645.0,15.9129,79.74
11,Andhra Pradesh,All India Jaihind Party,268.0,1.0,269.0,15.9129,79.74
12,Andhra Pradesh,All India Kisan Janatha party,574.0,4.0,578.0,15.9129,79.74
13,Andhra Pradesh,All Peoples Party,1484.0,11.0,1495.0,15.9129,79.74
14,Andhra Pradesh,Ambedkar National Congress,688.0,0.0,688.0,15.9129,79.74
15,Andhra Pradesh,Andhra Pradesh Rashtra Samithi,353.0,5.0,358.0,15.9129,79.74
16,Andhra Pradesh,Andhra Rastra Praja Samithi,6713.0,133.0,6846.0,15.9129,79.74
17,Andhra Pradesh,Anna YSR Congress Party,4859.0,78.0,4937.0,15.9129,79.74
18,Andhra Pradesh,Bahujan Samaj Party,223176.0,2969.0,226145.0,15.9129,79.74
19,Andhra Pradesh,Bengaluru Nava Nirmana Party,461.0,0.0,461.0,15.9129,79.74
20,Andhra Pradesh,Bharat Adivasi Party,6370.0,396.0,6766.0,15.9129,79.74
21,Andhra Pradesh,Bharatha Chaitanya Yuvajana Party,17016.0,157.0,17173.0,15.9129,79.74
22,Andhra Pradesh,Bharatheeya Jawan Kisan Party,729.0,3.0,732.0,15.9129,79.74
23,Andhra Pradesh,Bharatiya Janata Party,3750687.0,58097.0,3808784.0,15.9129,79.74
