S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency,Victory Margin,PC Name,EVM Votes Counted,Postal Votes Counted,EVM Votes Polled,Difference,Margin,Difference > Margin,Postalvotes > Margin
1.0,BISHNU PADA RAY,Bharatiya Janata Party,102182.0,254.0,102436.0,50.58,Andaman and Nicobar,Andaman & Nicobar Islands - 1,24396.0,,,,,,,,
2.0,KULDEEP RAI SHARMA,Indian National Congress,77829.0,211.0,78040.0,38.54,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
3.0,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236.0,18.0,8254.0,4.08,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
4.0,D AYYAPPAN,Communist Party of India (Marxist),6009.0,8.0,6017.0,2.97,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
5.0,V.K. ABDUL AZIZ,Independent,2195.0,8.0,2203.0,1.09,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
6.0,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911.0,3.0,914.0,0.45,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
7.0,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714.0,5.0,719.0,0.36,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
8.0,RINKU MALA MONDAL,Independent,539.0,3.0,542.0,0.27,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
9.0,K VENKAT RAM BABU,Independent,506.0,1.0,507.0,0.25,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
10.0,USHA KUMARI,Independent,378.0,2.0,380.0,0.19,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
11.0,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349.0,2.0,351.0,0.17,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
12.0,ANAND RAMNATH ARLEKAR,Independent,342.0,0.0,342.0,0.17,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
13.0,NOTA,None of the Above,1802.0,7.0,1809.0,0.89,Andaman and Nicobar,Andaman & Nicobar Islands - 1,,,,,,,,,
1.0,G M HARISH (BALAYOGI),Telugu Desam,786149.0,10832.0,796981.0,61.25,Andhra Pradesh,Amalapuram (SC) - 7,342196.0,,,,,,,,
2.0,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362.0,4423.0,454785.0,34.95,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
3.0,GOUTHAM JANGA,Indian National Congress,14523.0,559.0,15082.0,1.16,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
4.0,DORABABU YALLA,Bahujan Samaj Party,5202.0,186.0,5388.0,0.41,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
5.0,KATRU NAGA BABU,Telugu Nava Garjana Party,3736.0,5.0,3741.0,0.29,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
6.0,VADDI LALITH KUMAR,Independent,2974.0,3.0,2977.0,0.23,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
7.0,MAKEY DAVY PRASAD,Independent,2104.0,7.0,2111.0,0.16,Andhra Pradesh,Amalapuram (SC) - 7,,,,,,,,,
