,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
0,Andaman & Nicobar Islands,All India Anna Dravida Munnetra Kazhagam,911,3,914,11.7401,92.6586
1,Andaman & Nicobar Islands,Andaman Nicobar Democratic Congress,8236,18,8254,11.7401,92.6586
2,Andaman & Nicobar Islands,Bahujan Samaj Party,714,5,719,11.7401,92.6586
3,Andaman & Nicobar Islands,Bharatiya Janata Party,102182,254,102436,11.7401,92.6586
4,Andaman & Nicobar Islands,Communist Party of India (Marxist),6009,8,6017,11.7401,92.6586
5,Andaman & Nicobar Islands,Independent,2195539506378342,8312-,2203542507380342,11.7401,92.6586
6,Andaman & Nicobar Islands,Indian National Congress,77829,211,78040,11.7401,92.6586
7,Andaman & Nicobar Islands,None of the Above,1802,7,1809,11.7401,92.6586
8,Andaman & Nicobar Islands,Socialist Unity Centre Of India (COMMUNIST),349,2,351,11.7401,92.6586
9,Andhra Pradesh,Aihra National Party,1567,1,1568,15.9129,79.74
10,Andhra Pradesh,All India Forward Bloc,752524563827710375671,3948-1,755525464228510375672,15.9129,79.74
11,Andhra Pradesh,All India Jaihind Party,268,1,269,15.9129,79.74
12,Andhra Pradesh,All India Kisan Janatha party,574,4,578,15.9129,79.74
13,Andhra Pradesh,All Peoples Party,2522001032,371,2552071033,15.9129,79.74
14,Andhra Pradesh,Ambedkar National Congress,688,-,688,15.9129,79.74
15,Andhra Pradesh,Andhra Pradesh Rashtra Samithi,353,5,358,15.9129,79.74
16,Andhra Pradesh,Andhra Rastra Praja Samithi,48621523328,12733,49891526331,15.9129,79.74
17,Andhra Pradesh,Anna YSR Congress Party,43215654682394,7361817,43916014862411,15.9129,79.74
18,Andhra Pradesh,Bahujan Samaj Party,52021908262802485867741338966644172794937901191685339911776859455276571062382027712306466110300218460067985,18675116892831226810066206356117636933101761325781206498553,538819157639625750685713511673242728015381011979858910028783160145309581163142040912363474210506223360918038,15.9129,79.74
19,Andhra Pradesh,Bengaluru Nava Nirmana Party,461,-,461,15.9129,79.74
20,Andhra Pradesh,Bharat Adivasi Party,6370,396,6766,15.9129,79.74
21,Andhra Pradesh,Bharatha Chaitanya Yuvajana Party,2589705981813855761315628,3010365244210,2619715985413906001357638,15.9129,79.74
22,Andhra Pradesh,Bharatheeya Jawan Kisan Party,729,3,732,15.9129,79.74
23,Andhra Pradesh,Bharatiya Janata Party,750027417113699382718641557030608494,12042931279617874117439165,762069426425707343726515568773617659,15.9129,79.74
24,Andhra Pradesh,Bhartiya Panchyat Party,489,5,494,15.9129,79.74
25,Andhra Pradesh,Bhartiya Rashtriya Dal,760,7,767,15.9129,79.74
26,Andhra Pradesh,Challengers Party,439,5,444,15.9129,79.74
27,Andhra Pradesh,Communist Party of India,8317,320,8637,15.9129,79.74
28,Andhra Pradesh,Communist Party of India (Marxist),119016,4113,123129,15.9129,79.74
29,Andhra Pradesh,Communist Party of India (Marxist-Leninist) (Liberation),2816,7,2823,15.9129,79.74
30,Andhra Pradesh,Dalita Bahujana Party,3549941,87,3557948,15.9129,79.74
31,Andhra Pradesh,Independent,29742104174140013845311621791567119510556436577515141488131710861085903949387988121600049311311104679170454768893954236519341878157511099028628565475324902253117210016883873683503353342682621791725380227016111317122769324141087633264519631687140112225891512535043070257622221847128452061989157612331102102092862581904633302723481408133212671261678641472417408399390376352288635059665232468431402781272615251388137810029196836821056105171820103046303519231797144210067307137107065754574494073943653261310921731955125060975984473146134436152313158856895950347225231598796579649481723120310777976156076672319912401991193118117567386566465765435184993223202932714146339631051617855787,37417859673346156142664154736756252842117310432152310834477-1-4--648201110171611426-1159246639111426292211-410521112--422--1-1438-52-25651311-55238-15251265-4-3--176634315437123228126137206228110471---22714514-2176126521214,29772111174540023852312421841576120110626439577815181494131810911091904953594628136604749671318105179772954969733956236619351885157811199068948575525344932263118010046923913753573353352682661791725444227816311328123771024301088647264719691687141212275900512735083076258222251856129552201991158212351111102293062681914633303123581413133412681272680641472421410401390376353288636459695240468431452783272615271393138410079206866831057105172320153048307319231798144710087357257167115754614494103943653278311521791958125461005999473546164443153513188876915958359825361605816580249701731120410878016226086672319912401993193318187577426616475805435205003293262942734152340131071629856791,15.9129,79.74
32,Andhra Pradesh,India Praja Bandhu Party,45006691098,42411,45426731109,15.9129,79.74
33,Andhra Pradesh,Indian Believers Party (IBP),1237,2,1239,15.9129,79.74
34,Andhra Pradesh,Indian Labour Party (Ambedkar Phule),306,4,310,15.9129,79.74
35,Andhra Pradesh,Indian National Congress,1452324833419544167329431198205398913639520258689723113054920342981752053264258033144152229672463790234982943010270,55981812631586719100610704644851140169512849155261580919106710714481733608837353,1508225651432174325930150208265505914103921109703733182556204352131804654844267223250853300717265523241063026710623,15.9129,79.74
36,Andhra Pradesh,Jaathia Chethi Vruthula Ikya Vedika Party,25334147853851415,72063-,25404347913881415,15.9129,79.74
37,Andhra Pradesh,Jai Bharat National Party,18867205540114917752242281813601080,274721442515650,19137252542116317792267283313661130,15.9129,79.74
